articleID;cites
0;39781|4793083|62183|4776310|36348
1;4789424|38122|1267311|4775032|30252
3;4762765|4781076|1411874|67412|41123
4;4766753|76894|1363865|4786952|4801724
5;37110|4783104|4801704|74808|4764925
6;60383|41271|51181|34700|54750
7;66560|76999|4772211|4762229|4785705
8;4779335|71901|70634|52128|1295897
9;801820|802408|4791549|59505|4764424
10;4766527|4766851|33809|45763|4761673
11;50241|76143|4779728|4798897|39537
12;4767140|4780665|4802928|46026|4773200
13;4793870|4796218|58201|44832|67532
14;57458|4797923|4791765|4799581|67973
15;172994|42801|44424|73664|50666
16;4795649|46135|4780232|4788903|74308
17;68789|37725|4785692|1388433|50736
18;41066|56838|43375|48933|63850
19;55474|4796558|31930|61704|4791517
20;4785007|173256|59576|4787417|4777132
21;54500|4778704|28616|4760656|61047
22;62536|4792618|66590|255035|4772735
23;52797|4772526|4787738|76738|4771594
24;4767521|4778254|72162|64977|52575
25;4773543|43087|4776244|4792169|4773712
26;48928|63629|41806|53435|68787
27;4792244|53114|4763790|4760602|36824
28;38559|4781372|46753|45234|1312079
29;4778943|4775329|4782505|54228|4766453
30;52332|541|56235|4786131|65586
31;67028|44303|67826|257783|4793895
32;4791261|54094|70466|4766355|44405
33;4777659|39516|4798469|4779370|4793953
34;61492|56404|4786316|4794260|59942
35;37180|46467|76198|67906|258386
36;4784408|258409|4773745|4760743|50143
37;4773812|43801|4767041|4788095|4803044
38;57102|53166|4787829|4801426|4776326
39;31546|4767974|4775558|43003|58314
40;4791806|4796276|4788464|4798225|56175
41;1383833|44333|75372|4780324|4775347
42;4764228|4793912|74956|68086|4768313
43;60734|1341185|4772349|58311|1394369
44;1362812|4790838|4795280|51475|59710
45;48169|44111|45328|67033|1326918
46;46503|4779655|56539|54548|28382
47;67439|66456|4781588|49214|44190
48;1363363|71088|66107|37075|29231
49;802383|4797816|66102|71391|28946
50;70611|64603|4776256|4784454|30319
51;1382470|4784651|42109|4780682|72932
52;4800982|4801651|38961|4763066|4767135
53;4791625|4784675|4801845|34527|4765878
54;4800173|4771656|4800786|4773294|4790278
55;32349|61143|4784810|4796185|75361
56;4774572|1378216|65059|71946|42598
57;43819|46218|4769584|34106|33795
58;1326676|4774602|4796392|44938|43853
59;4769756|49947|1334934|46289|4803064
60;173099|42419|51309|4784879|49377
61;4766870|4768800|70611|72324|4786989
62;37340|4801026|44912|49244|4800852
63;49745|4761125|38283|4801682|4800017
64;4795406|61312|58374|4803154|4794103
65;4789893|173624|4773585|4778626|42220
66;4763054|61188|4780955|4765626|34706
67;1396237|4792184|4781358|50741|4782216
68;67583|39089|50356|4782181|4790893
69;62662|4784869|30393|4772216|4789575
70;56318|68201|62708|74290|30145
71;47629|4771963|73326|4760441|4763014
72;46193|4803317|4781774|39388|68900
73;66150|62337|4787854|4776513|38501
74;55386|4797827|4803145|41629|254519
75;58687|4803214|4767467|44988|47170
76;48083|37943|4802283|29528|4769500
77;4802299|4792648|63192|42581|4776679
78;4769547|4768792|71221|4787682|4761531
79;4787457|40256|4773459|46902|32731
80;35963|4774903|28074|65325|73769
81;4780189|4776690|4797924|49735|58819
82;4790500|44612|75773|4803285|48525
83;31471|1473844|38025|56804|4770443
84;32244|4768987|173407|4784871|4798240
85;28760|4772880|4764305|253803|58979
86;47261|4764026|4783665|77031|4780930
87;4771135|42798|53904|1519481|4771010
88;74272|4787956|4801588|4799090|74920
89;35429|41222|73740|37618|4802650
90;802786|4773914|4767830|37369|73514
91;253379|4777850|37234|67955|4792976
92;4768371|27997|1423566|4798037|48810
93;4793211|56801|4795702|49598|4761803
94;4776450|39343|4765566|801589|4764837
95;4766284|4786389|64828|4771151|34101
96;4784519|4768448|4782096|4797712|4795764
97;4776536|4797608|76255|4784262|4771387
98;62835|4781041|4785214|60629|4788547
99;4799217|4802889|55892|42897|4789845
100;36856|30847|802332|1450550|29905
101;316|73699|32838|4771104|1387852
102;69811|4764972|4791270|4783255|40332
103;4792483|56301|72825|48907|4770816
104;4790149|30123|34901|4760485|77141
105;4801672|48558|174915|28456|61135
106;4791613|32391|4768482|1424668|4775364
107;4772835|48238|172770|4781284|73360
108;62657|61670|62325|38547|35125
109;69933|258273|29875|4785080|4796994
110;4793896|50809|4763197|65545|68518
111;41009|48979|4785144|1335356|4770771
112;39081|30586|61879|4776559|4781919
113;4762990|4802902|4767128|30267|45155
114;4803573|254056|4782510|4795566|4801864
115;4794486|34036|4772358|4783191|59657
116;4778492|42207|34186|4794246|32
117;4795945|4782631|31972|4781782|4797751
118;68233|48614|4769405|76130|59701
119;4800950|4793610|55946|28605|4767365
120;28074|62717|73235|4786556|62217
121;4784857|72284|4800043|254960|61924
122;38195|38392|57060|4769934|4800821
123;4778235|35681|801617|55529|4776071
124;48625|53206|4779016|64267|4770279
125;41342|39018|62775|53117|58540
126;43733|4773238|4775366|63517|4789770
127;126624|36616|4785753|1394458|64231
128;29901|62922|4789281|35965|44773
129;4770471|802557|38832|44944|4778083
130;72410|32099|62183|65294|4797629
131;4791348|74623|940209|42821|4767995
132;4800063|57547|4778397|4793783|47463
133;56856|4798441|4799854|4761654|4786876
134;38594|4776427|50151|4775912|4761060
135;4776521|33127|42965|1462970|802928
136;43065|4788096|1276116|4798696|57003
137;4765978|58217|4778954|30048|40958
138;4802558|4792488|4797558|4766073|802242
139;67542|33147|41998|4767722|31782
140;4768790|44601|4790392|4796648|63596
141;4788922|4779305|63503|802214|4765907
142;255902|57843|4781599|54363|41061
143;55520|4761677|67023|44129|4803516
144;43829|4760915|4763388|4788359|53002
145;44116|35143|4792462|4769195|4767408
146;56642|4789863|63066|4760753|4773347
147;4786705|42996|4762748|61591|4789800
148;73920|39603|30678|48024|61922
149;4777054|4799097|75845|75218|66240
150;173960|4793360|4792011|4774836|40000
151;4800941|4794664|66774|52475|802022
152;801708|73290|4787281|27974|55111
153;45144|4788427|58234|4783610|51319
154;4796729|4783380|32316|4778622|54279
155;4770078|40522|49575|29710|41608
156;4785498|57628|36207|33968|48410
157;43845|36802|258406|4776938|27911
158;4767279|56221|4795725|4791115|4802095
159;4787185|4770418|4781498|172588|4799223
160;253808|47954|4768071|4797907|49759
161;54133|4788128|4786149|802668|53734
162;55440|71856|34330|4791624|70429
163;4791804|4777124|74995|2255012|29548
164;28109|30367|35429|41755|4769758
165;4783142|42846|4778557|4763703|4769241
166;803369|1381327|4762235|1446743|50167
167;63226|4801589|42664|4772696|33609
168;4802586|53216|4785399|60276|4792643
169;4775605|1284636|439|38652|63306
170;36887|68054|62616|40816|4782815
171;257809|4782190|41313|4761043|4792328
172;53732|67812|4803339|69734|802228
173;70096|4764546|31581|56349|41432
174;4787700|4784585|45557|45190|4763085
175;4774154|59876|4788951|39868|55480
176;35299|29040|4794185|45729|4796571
177;61870|4790734|49131|61678|4792572
178;40506|547|4774232|4764969|4788581
179;66478|32227|4793461|4781751|64681
180;49063|4764250|4783274|4800081|4783464
181;4802669|41089|4762862|4765316|4781647
182;4784325|75493|72785|54234|4776618
183;68882|28508|42523|4769783|72853
184;4802541|802069|29233|69745|4799364
185;44517|61301|75207|62716|76268
186;31180|38505|76243|4793080|43606
187;4790609|49423|65126|4793582|4771833
188;4787487|4764921|48809|50237|69492
189;4761476|66706|4765884|28855|59074
190;27|45173|55513|51067|4797889
191;4800198|4797946|4771544|4798465|49076
192;4797875|58600|59265|4767601|50401
193;4782204|4766776|39185|4798895|49697
194;53845|4766170|69983|28473|36765
195;54549|4781210|4792806|50063|4784590
196;4770003|257468|4775558|60535|4788192
197;4799452|4769029|69367|33058|4787030
198;4763503|57000|1379531|33776|71531
199;45382|4802214|4785609|1366175|4791443
200;4765020|1491784|4783744|4761656|4777146
201;69608|4795372|45576|63738|49587
202;58734|32819|4790151|48159|67018
203;72900|30382|4803469|4782188|49333
204;47488|4772491|4784521|66586|1373605
205;57374|4788575|4784793|1312704|73267
206;40643|56817|4772105|47561|4800384
207;33957|4790471|29771|29379|4769767
208;4789170|258728|73548|35051|4780342
209;48146|65936|38525|34032|4763160
210;4785558|4784977|27931|4800208|4802759
211;4767243|4774844|68782|49075|59260
212;4783286|4778597|4766701|4781721|64978
213;31873|53092|4786667|802008|60927
214;4797653|70289|59490|34612|4761298
215;74066|174610|1398599|66658|4793472
216;41832|47740|4799790|56670|44731
217;4783618|4768950|4801620|4762308|1347833
218;254012|37425|4763110|4788815|35506
219;62724|257087|4795516|4777777|34668
220;4764712|4784372|45050|54078|71446
221;50398|50393|38660|4801566|4787646
222;4781523|61262|43339|72639|4773771
223;4803102|4797195|59281|4765595|4779894
224;4767953|68960|40459|48105|61841
225;61828|71819|4788123|802797|4795221
226;4765535|40016|4785140|58159|58505
227;76284|68516|39950|41493|4799845
228;4783290|56908|4803604|4789643|28259
229;66241|4765407|1312623|64612|47752
230;4796824|46646|4791875|33827|4795238
231;4787054|68933|4766159|60447|4768174
232;54811|4797901|44087|4772042|62416
233;34949|4760608|4777712|4785614|4800752
234;4796484|61378|67045|42782|4773577
235;4768176|76270|55813|60489|50967
236;48523|4776732|54039|4772321|38802
237;4785047|4780702|4760970|38011|802849
238;4779858|4781510|46104|4766016|57610
239;74828|68989|40641|1438530|65320
240;37835|4766716|4772538|42999|801803
241;57784|66340|36190|4789913|44480
242;57222|4786186|35779|4793150|4784390
243;4764285|4788095|4771567|53809|36444
244;74607|4791650|70950|4793714|4778150
245;36243|4790838|39525|30009|4766779
