articleID;reviewerID
0;7432890|7433106|7432954
1;7433066|7432876|7433030
3;7432924|7432894|7432948
4;7433012|7432967|7432884
5;7433109|7432927|7433086
6;7432945|7433042|7432903
7;7432987|7433074|7433087
8;7432969|7432891|7432876
9;7433039|7432915|7433028
10;7432949|7432895|7433089
11;7433105|7433064|7433038
12;7432935|7433048|7432936
13;7432943|7432868|7432919
14;7432977|7433077|7433004
15;7432957|7433030|7433109
16;7433008|7432907|7433081
17;7433079|7432964|7433076
18;7433059|7433003|7433074
19;7433080|7433040|7433100
20;7433072|7433018|7432940
21;7432934|7432986|7433057
22;7433017|7432866|7433023
23;7433037|7432970|7432888
24;7432977|7432962|7432919
25;7433039|7433009|7432926
26;7432894|7432965|7433059
27;7433043|7432906|7432931
28;7432891|7432951|7432924
29;7432908|7432918|7432983
30;7432868|7433004|7433107
31;7432999|7432990|7432975
32;7433024|7432914|7432901
33;7433033|7433073|7432966
34;7432922|7433099|7432888
35;7433090|7432924|7432989
36;7432869|7433066|7433045
37;7433021|7432895|7432877
38;7432997|7432912|7433070
39;7432995|7433077|7432920
40;7432875|7432974|7432912
41;7432969|7432996|7432929
42;7432900|7432938|7432872
43;7433102|7433110|7432985
44;7432962|7433078|7433095
45;7432906|7432868|7432958
46;7433028|7432948|7432964
47;7433017|7432885|7433020
48;7432895|7432894|7433061
49;7432915|7432966|7433001
50;7432897|7432893|7433021
51;7432962|7432972|7433063
52;7433084|7432974|7433103
53;7432903|7433035|7433057
54;7432996|7433003|7432928
55;7432934|7433099|7433004
56;7432927|7432985|7432991
57;7432991|7433024|7432880
58;7433057|7432931|7433105
59;7433016|7432892|7432981
60;7432983|7432877|7433057
61;7433002|7433068|7432939
62;7432969|7433093|7432955
63;7432931|7433058|7432955
64;7433042|7433045|7432866
65;7432914|7432995|7432941
66;7432959|7433072|7433066
67;7432992|7432952|7432915
68;7433095|7432904|7433065
69;7432871|7433009|7432916
70;7432913|7433027|7432872
71;7433040|7432970|7432947
72;7432907|7433069|7433096
73;7432901|7432963|7432872
74;7433062|7433042|7433013
75;7432988|7432972|7432949
76;7433086|7432970|7432981
77;7433100|7433003|7433106
78;7433106|7433061|7432994
79;7433062|7433108|7433006
80;7432907|7432972|7432924
81;7432897|7433089|7433018
82;7433028|7432872|7432982
83;7432959|7432925|7433008
84;7433057|7433081|7432987
85;7432930|7432959|7433029
86;7433022|7432865|7433098
87;7433093|7432950|7432869
88;7433055|7432943|7433100
89;7432960|7433076|7432959
90;7433057|7432965|7433080
91;7433036|7432865|7432963
92;7433105|7433035|7432912
93;7432884|7433034|7433018
94;7432958|7432886|7433002
95;7432974|7432983|7432922
96;7433076|7432878|7432922
97;7432904|7432965|7433032
98;7433070|7432877|7432974
99;7432981|7433039|7432986
100;7432883|7432981|7432885
101;7432878|7432963|7433073
102;7432966|7432964|7432875
103;7433022|7433038|7432969
104;7432888|7433023|7432962
105;7432868|7433002|7432962
106;7433010|7433033|7433015
107;7432918|7433016|7432904
108;7432918|7433000|7433110
109;7433074|7432998|7433095
110;7432929|7433019|7432963
111;7433003|7432942|7432882
112;7433013|7432938|7432942
113;7432916|7432944|7432891
114;7432988|7433047|7432981
115;7433090|7432939|7432916
116;7433043|7432911|7432867
117;7432949|7433098|7432880
118;7432962|7432903|7433012
119;7432901|7433093|7432929
120;7432908|7432967|7433112
121;7432967|7432894|7432866
122;7433050|7432931|7433009
123;7433085|7433112|7433113
124;7433085|7432897|7432974
125;7432916|7432910|7432964
126;7433106|7433002|7433092
127;7432959|7432933|7432989
128;7432935|7432986|7433017
129;7432984|7433023|7432990
130;7432925|7433050|7433037
131;7433074|7432929|7432897
132;7433105|7433090|7432892
133;7433102|7432987|7432949
134;7432881|7432896|7432905
135;7432900|7432977|7432929
136;7432902|7433089|7433053
137;7433042|7432887|7433062
138;7433050|7432893|7432930
139;7432978|7433063|7433016
140;7433065|7433087|7432961
141;7433057|7433033|7433039
142;7433000|7433080|7432948
143;7433023|7432987|7432933
144;7432880|7433036|7432929
145;7432964|7432907|7432885
146;7433084|7433062|7433038
147;7432887|7432920|7432886
148;7432896|7433087|7433054
149;7432944|7432962|7433032
150;7433093|7432957|7432898
151;7433097|7432976|7433041
152;7433031|7433019|7432970
153;7432908|7433029|7432897
154;7432940|7432905|7432903
155;7432913|7433083|7433061
156;7432925|7432974|7432998
157;7433036|7432982|7433008
158;7433070|7433099|7433027
159;7432959|7432927|7433066
160;7432940|7432888|7432929
161;7432866|7433074|7433085
162;7432998|7433062|7432912
163;7432949|7433084|7432889
164;7432973|7432966|7432923
165;7433059|7432999|7433066
166;7433057|7432916|7432996
167;7433101|7432983|7432941
168;7433032|7433067|7432920
169;7433073|7433023|7432912
170;7432943|7432988|7433090
171;7432972|7432970|7433004
172;7433113|7433028|7432966
173;7432882|7433089|7432891
174;7432981|7432935|7432982
175;7432979|7432990|7432993
176;7433036|7432918|7432893
177;7432906|7432872|7432928
178;7433096|7432871|7433058
179;7433042|7433103|7432885
180;7433059|7432994|7432913
181;7432929|7432884|7432886
182;7433075|7432940|7432894
183;7432971|7433065|7432886
184;7432934|7432889|7432939
185;7433020|7432962|7432985
186;7432893|7433088|7432955
187;7433052|7433000|7433092
188;7432867|7432891|7433109
189;7433013|7433010|7432943
190;7433086|7433056|7432913
191;7432944|7432865|7432916
192;7433007|7432950|7432939
193;7432914|7433097|7433057
194;7432945|7433019|7433050
195;7433073|7432876|7432919
196;7433048|7433035|7433056
197;7433023|7433079|7432899
198;7433100|7432964|7432992
199;7432889|7432997|7432953
200;7433000|7433044|7432889
201;7432881|7432873|7432957
202;7433039|7432880|7433095
203;7433009|7432907|7433047
204;7432990|7433022|7432929
205;7432888|7433050|7432870
206;7433103|7432973|7432907
207;7433080|7432953|7433084
208;7433051|7432972|7433020
209;7432980|7432941|7433066
210;7433065|7432959|7432908
211;7432960|7433003|7433113
212;7432923|7433018|7433008
213;7432949|7432881|7432996
214;7433065|7432957|7433037
215;7432998|7433017|7432905
216;7433082|7433022|7432965
217;7433060|7432949|7432950
218;7433087|7433088|7433109
219;7433012|7433028|7432944
220;7432990|7432936|7432916
221;7432933|7433021|7433085
222;7433074|7432917|7433110
223;7433043|7432904|7432877
224;7433003|7433032|7432934
225;7432984|7432873|7432896
226;7432953|7433111|7433018
227;7432991|7433025|7432989
228;7432908|7433029|7433095
229;7432975|7433069|7432894
230;7433021|7432902|7432941
231;7432910|7433054|7432947
232;7432878|7433037|7433068
233;7432900|7433106|7433005
234;7433004|7433007|7433085
235;7433033|7433070|7433044
236;7432977|7433096|7432882
237;7432909|7433036|7433080
238;7432887|7432922|7433054
239;7432902|7432892|7432927
240;7433044|7432983|7433012
241;7432937|7432912|7432868
242;7433011|7433103|7433087
243;7432966|7432919|7433053
244;7432906|7433012|7432958
245;7432908|7433069|7432909
246;7433111|7432931|7432971
247;7432908|7432878|7432910
248;7433099|7433038|7433097
249;7432927|7432931|7433079
250;7433069|7432965|7433029
