articleID;review1;review2;review3
0;7432890|B'nunc' b've' b'a' b've' b'cras' b'vel' b'a' b'nec'.|accept;7433106|B'nisi' b'id' b'ac' b'a' b'a' b'vel'.|accept;7432954|B'arcu' b'ad' b'a' b've'.|reject
1;7433066|B'ante' b'ut' b'a' b'a' b'neque' b'id' b'a' b'per'.|reject;7432876|B'enim' b'eu' b'a' b'sem' b'lectus' b'sit' b'donec'.|accept;7433030|B'enim' b've' b'a' b'neque' b'massa' b'enim' b'a' b'a' b'lorem' b'felis'.|accept
3;7432924|B'nibh' b'at'.|accept;7432894|B'urna' b'mi' b'a' b'sit' b'ac' b'a' b'nec'.|reject;7432948|B'ante' b'in' b'a' b'sociosqu' b'pede' b'torquent' b'a'.|accept
4;7433012|B'urna' b'at' b'a' b'sit' b'id' b'curae' b'a' b'non'.|accept;7432967|B'cras' b'mi'.|reject;7432884|B'quis' b'ut'.|accept
5;7433109|B'nibh' b'ut' b'a' b'id' b'ridiculus' b'mollis' b'at'.|reject;7432927|B'nibh' b've' b'quis'.|accept;7433086|B'cras' b'ad' b'a' b'a' b'eu'.|accept
6;7432945|B'diam' b'at' b'a' b'a'.|accept;7433042|B'enim' b've'.|accept;7432903|B'amet' b'ad' b'a' b'erat' b'a' b'etiam' b'porta' b've' b'a' b'a' b'augue' b'elementum' b'vel' b'a' b'morbi'.|reject
7;7432987|B'amet' b've' b'a' b'risus' b'vel' b'ac' b'a' b'nec' b'malesuada' b'dictum' b'in'.|reject;7433074|B'nisl' b'at' b've' b'a' b'massa' b'ad'.|accept;7433087|B'amet' b'at' b'a' b'per' b'litora'.|accept
8;7432969|B'nisi' b'at' b'in' b'est' b'dolor'.|accept;7432891|B'duis' b'at' b'a' b'ad' b'a' b'pretium' b'est' b'a' b'nunc' b'a' b'enim' b'ligula'.|accept;7432876|B'orci' b'ad' b'a' b'a' b'eget' b'a' b'a' b'ut' b'a' b'a' b'a'.|reject
9;7433039|B'cras' b'eu' b'nunc' b'dui' b'ligula' b'a' b'tristique' b'a' b'ac'.|reject;7432915|B'orci' b'ac' b'ut' b'a' b'nam' b'a' b'urna'.|accept;7433028|B'nibh' b'eu' b'a' b'velit' b'a' b'suscipit' b'a'.|accept
10;7432949|B'diam' b'et' b'a' b'a'.|accept;7432895|B'quam' b'et'.|reject;7433089|B'nisl' b'in' b'a' b'a'.|accept
11;7433105|B'nisl' b'ac' b'a' b'sit' b'non' b'ac' b'quisque' b'a' b'dui' b'per' b'a' b'magna' b'nec' b'eni' b'ut' b'nisl'.|accept;7433064|B'amet' b'mi' b'a' b'ut' b'platea' b'porta'.|reject;7433038|B'orci' b'ut' b'a' b'a' b'a' b'a' b'a' b'dis' b'eget' b'est' b'a'.|accept
12;7432935|B'orci' b'ac' b'mi' b'a' b'a' b'a'.|accept;7433048|B'cras' b'eu' b'a' b'amet' b'a'.|accept;7432936|B'odio' b'ut' b'a' b'a' b'a' b'per'.|reject
13;7432943|B'erat' b've' b'a' b'id' b'a' b'nam' b'a' b'non' b'semper'.|accept;7432868|B'urna' b'ut' b'a' b'a' b'ut' b'at' b'mattis' b'odio' b'in' b'aliquet' b'fusce' b'eros'.|accept;7432919|B'amet' b've' b'a' b'a' b'a' b'sed' b'est' b'ipsum'.|reject
14;7432977|B'erat' b've' b'a' b'a' b'non' b'in' b'pede' b'a' b'a' b'nam' b'a' b'a' b'a' b've'.|reject;7433077|B'urna' b'ut' b'enim' b'non' b'nam' b'mollis' b'a' b'a' b'nec'.|accept;7433004|B'elit' b'et' b'in' b'mus' b'ut' b'duis' b'a' b'a'.|accept
